question,query
En büyük demiryolu numarasını listele.,SELECT max(numara)
Kulüpler tablosunda numarası 1 olan kulüplerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Öğretmenler tablosunda adı Richard olan öğretmenlerin şehirlerini getir.,SELECT sehir WHERE ad EQL Richard
Numarası 1 olan hastaların sigortalarını getir.,SELECT sigorta WHERE numara EQL 1
Veritabanındaki tüm şarkıların çıkış tarihlerini yazdır.,SELECT cikis_tarihi
Kodu 5090 olan tüm ürünlerin fiyatlarını getir.,SELECT fiyat WHERE kod EQL 5090
Öğrencilerden yaşı 16 olan öğrencilerin yaşlarını getir.,SELECT yas WHERE yas EQL 16
Müzeler tablosundan numarası 1 olan müzelerin açılış yıllarını getir.,SELECT acilis_yili WHERE numara EQL 1
Müze tablosu içerisinde bulunan açılış yıllarını ekrana getir.,SELECT acilis_yili
Hemşirelerin adlarını göster.,SELECT ad
Bütün müzelerin adlarını göster.,SELECT ad
Yüzücüler tablosundan adı Michael Phelps olan yüzücülerin uyruklarını getir.,SELECT uyruk WHERE ad EQL Michael Phelps
Çalışanlardan numarası 1 olan çalışanların adlarını göster.,SELECT ad WHERE numara EQL 1
Sinemalardan kapasitesi 140 olan sinemaların kapasitelerini göster.,SELECT kapasite WHERE kapasite EQL 140
Insanlardan en büyük numarayı getir.,SELECT max(numara)
Adı Thomas olan sürücülerin adlarını listele.,SELECT ad WHERE ad EQL Thomas
Konferanslardan adı AI Conference olan konferansların adlarını getir.,SELECT ad WHERE ad EQL AI Conference
Numarası 1 olan tüm müşterilerin e-postalarını getir.,SELECT eposta WHERE numara EQL 1
Insanlar tablosunda kilosu 82 olan insanların kilolarını getir.,SELECT kilo WHERE kilo EQL 82
Veritabanındaki yaşı 16 olan öğrencilerin numaralarını yazdır.,SELECT numara WHERE yas EQL 16
Veritabanındaki yaşı 30 olan yöneticilerin adlarını yazdır.,SELECT ad WHERE yas EQL 30
Tüm stadyumların sadece açılış yıllarını göster.,SELECT acilis_yili
Yüzücülerden adı Michael Phelps olan yüzücülerin numaralarını getir.,SELECT numara WHERE ad EQL Michael Phelps
Toplam köprü sayısını getir.,SELECT count(numara)
Adı Michael Phelps olan yüzücülerin uyruklarını listele.,SELECT uyruk WHERE ad EQL Michael Phelps
Sanatçılar tablosunda cinsiyeti Erkek olan sanatçıların numaralarını getir.,SELECT numara WHERE cinsiyet EQL Erkek
Veritabanındaki numarası 1 olan müşterilerin e-postalarını yazdır.,SELECT eposta WHERE numara EQL 1
Numarası 1 olan tüm personellerin e-postalarını getir.,SELECT eposta WHERE numara EQL 1
Arabalar tablosundan numarası 1 olan arabaların yıllarını getir.,SELECT yil WHERE numara EQL 1
Adı William olan tüm çalışanların numaralarını getir.,SELECT numara WHERE ad EQL William
Şarkı sayısını getir.,SELECT count(numara)
Şarkılar tablosunda dili Turkce olan şarkıların sanatçılarını getir.,SELECT sanatci WHERE dil EQL Turkce
Numarası 1 olan sinemaların kapasitelerini listele.,SELECT kapasite WHERE numara EQL 1
Veritabanındaki hastaların sayısını yazdır.,SELECT count(numara)
Yayınlar tablosunda alıntısı 29 olan yayınların numaralarını getir.,SELECT numara WHERE alinti EQL 29
Yöneticiler tablosundan numarası 1 olan yöneticilerin adlarını getir.,SELECT ad WHERE numara EQL 1
Stadyumlardan şehiri Barcelona olan stadyumların numaralarını göster.,SELECT numara WHERE sehir EQL Barcelona
Ülkesi Türkiye olan şarkıların sanatçılarını bul.,SELECT sanatci WHERE ulke EQL Türkiye
Cinsiyeti Erkek olan sanatçıların numaralarını getir.,SELECT numara WHERE cinsiyet EQL Erkek
Kaç uçuş var?,SELECT count(numara)
Bütün mimarların numaralarını göster.,SELECT numara
Veritabanındaki personel sayısı 12 olan müzelerin adlarını yazdır.,SELECT ad WHERE personel_sayisi EQL 12
Ülkesi Fransa olan sanatçıların numaralarını listele.,SELECT numara WHERE ulke EQL Fransa
Tüm yüzücülerin numaralarını listele.,SELECT numara
Tüm şarkıların adlarını listele.,SELECT ad
Köprüler tablosunda konumu Beykoz/Istanbul olan köprülerin konumlarını getir.,SELECT konum WHERE konum EQL Beykoz/Istanbul
Bütün projelerin numaralarını göster.,SELECT numara
Yöneticilerden numarası 1 olan yöneticilerin ülkelerini getir.,SELECT ulke WHERE numara EQL 1
Yayınlar tablosundan başlığı Artificial Intelligence olan yayınların yıllarını getir.,SELECT yil WHERE baslik EQL Artificial Intelligence
Yeri Izmir olan sinemaların numaralarını bul.,SELECT numara WHERE yer EQL Izmir
Numarası 1 olan tüm yöneticilerin adlarını getir.,SELECT ad WHERE numara EQL 1
Tüm demiryollarının sadece numaralarını göster.,SELECT numara
Numarası 1 olan tüm personellerin cinsiyetlerini getir.,SELECT cinsiyet WHERE numara EQL 1
Çip modeli A15 olan telefonların numaralarını bul.,SELECT numara WHERE cip_modeli EQL A15
Yayınlardan başlığı Artificial Intelligence olan yayınların numaralarını göster.,SELECT numara WHERE baslik EQL Artificial Intelligence
Çiftliklerden inek sayısı 10 olan çiftliklerin inek sayılarını göster.,SELECT inek_sayisi WHERE inek_sayisi EQL 10
Ülkesi Türkiye olan şarkıların numaralarını listele.,SELECT numara WHERE ulke EQL Türkiye
Başlığı Esaretin Bedeli olan filmlerin yönetmenlerini listele.,SELECT yonetmen WHERE baslik EQL Esaretin Bedeli
Numarası 1 olan hastaların numaralarını listele.,SELECT numara WHERE numara EQL 1
Bütün insanların numaralarını getir.,SELECT numara
Ürünler tablosundaki en büyük numarayı listele.,SELECT max(numara)
Turu 4 olan yarışların tarihlerini getir.,SELECT tarih WHERE tur EQL 4
Stadyumlar tablosundan açılış yılı 1957 olan stadyumların kapasitelerini getir.,SELECT kapasite WHERE acilis_yili EQL 1957
Yayınlardan yılı 2021 olan yayınların yayıncılarını göster.,SELECT yayinci WHERE yil EQL 2021
Numarası 1 olan hastaların telefonlarını getir.,SELECT telefon WHERE numara EQL 1
Yaşı 16 olan tüm öğrencilerin soyadlarını getir.,SELECT soyad WHERE yas EQL 16
Telefonlardan çip modeli A15 olan telefonların modellerini getir.,SELECT model WHERE cip_modeli EQL A15
Bütün sanatçıların cinsiyetlerini göster.,SELECT cinsiyet
Departmanlar tablosundan numarası 1 olan departmanların numaralarını getir.,SELECT numara WHERE numara EQL 1
Veritabanındaki ülkesi Fransa olan sanatçıların ülkelerini yazdır.,SELECT ulke WHERE ulke EQL Fransa
Cihazlardan versiyonu 15 olan cihazların cihazlarını getir.,SELECT cihaz WHERE versiyon EQL 15
Tüm müzelerin personel sayılarını görüntüle.,SELECT personel_sayisi
Modeli Mercedes olan arabaların numaralarını bul.,SELECT numara WHERE model EQL Mercedes
Insanlardan numarası 1 olan insanların numaralarını göster.,SELECT numara WHERE numara EQL 1
Kaç yüzücü var?,SELECT count(numara)
Alıntısı 29 olan yayınların alıntılarını getir.,SELECT alinti WHERE alinti EQL 29
Kategorisi Survival olan oyunların numaralarını bul.,SELECT numara WHERE kategori EQL Survival
Departmanlardan adı Pazarlama olan departmanların numaralarını getir.,SELECT numara WHERE ad EQL Pazarlama
Müşterilerden şehiri Istanbul olan müşterilerin şehirlerini getir.,SELECT sehir WHERE sehir EQL Istanbul
Numarası 1 olan filmlerin yönetmenlerini listele.,SELECT yonetmen WHERE numara EQL 1
Şehiri Istanbul olan müşterilerin numaralarını getir.,SELECT numara WHERE sehir EQL Istanbul
Toplam çalışan sayısını bastır.,SELECT count(numara)
Oyuncuların adlarını göster.,SELECT ad
Numarası 1 olan kitapların numaralarını listele.,SELECT numara WHERE numara EQL 1
Şarkılar tablosundaki en büyük numarayı getir.,SELECT max(numara)
Tarihi 01/04/2005 olan yarışların numaralarını listele.,SELECT numara WHERE tarih EQL 01/04/2005
Numarası 1 olan uçuşların başlangıçlarını getir.,SELECT baslangic WHERE numara EQL 1
At sayısı 2 olan çiftliklerin inek sayılarını listele.,SELECT inek_sayisi WHERE at_sayisi EQL 2
Soyadı Smith olan öğrencilerin soyadlarını listele.,SELECT soyad WHERE soyad EQL Smith
Havalimanı tablosu içinde kaç tane havalimanı kaydı olduğunu ekrana getir.,SELECT count(numara)
Veritabanındaki türü Slow olan şarkıların ülkelerini yazdır.,SELECT ulke WHERE tur EQL Slow
Numarası 1 olan köprülerin konumlarını bul.,SELECT konum WHERE numara EQL 1
Sürücüler tablosunda numarası 1 olan sürücülerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Iç yolcusu 63648 olan havalimanlarının adlarını getir.,SELECT ad WHERE ic_yolcu EQL 63648
Numarası 1 olan tüm personellerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Tüm stokların miktarlarını getir.,SELECT miktar
Müzeler tablosunda adı Gallery of Earth olan müzelerin personel sayılarını getir.,SELECT personel_sayisi WHERE ad EQL Gallery of Earth
Müşteriler tablosunda telefonu 2122121212 olan müşterilerin numaralarını getir.,SELECT numara WHERE telefon EQL 2122121212
En büyük yönetici düzeyini göster.,SELECT max(duzey)
Bütün stadyumların adlarını göster.,SELECT ad
Numarası 1 olan oyunların kategorilerini listele.,SELECT kategori WHERE numara EQL 1
Tüm insanları say.,SELECT count(numara)
Telefonlardan numarası 1 olan telefonların modellerini getir.,SELECT model WHERE numara EQL 1
Derecesi 2/5 olan restoranların derecelerini getir.,SELECT derece WHERE derece EQL 2/5
Hastalar tablosundan telefonu 1 352-295-8921 olan hastaların telefonlarını getir.,SELECT telefon WHERE telefon EQL 1 352-295-8921
Şehirlerin alanlarını getir.,SELECT alan
Toplam yüzücü sayısını bastır.,SELECT count(numara)
Tüm insanların boylarını görüntüle.,SELECT boy
Soyadı Smith olan öğrencilerin şehirlerini getir.,SELECT sehir WHERE soyad EQL Smith
Varış tarihi 19/05/2022 14:00 olan uçuşların başlangıçlarını bul.,SELECT baslangic WHERE varis_tarihi EQL 19/05/2022 14:00
Toplamda kaç müze olduğunu göster.,SELECT count(numara)
Veritabanındaki yaşı 16 olan öğrencilerin cinsiyetlerini yazdır.,SELECT cinsiyet WHERE yas EQL 16
Şarkılar tablosunda ülkesi Türkiye olan şarkıların dillerini getir.,SELECT dil WHERE ulke EQL Türkiye
Başlığı Esaretin Bedeli olan tüm filmlerin numaralarını getir.,SELECT numara WHERE baslik EQL Esaretin Bedeli
Tüm sürücülerin tiplerini getir.,SELECT tip
Numarası 1 olan uçuşların mesafelerini getir.,SELECT mesafe WHERE numara EQL 1
Veritabanındaki cihazı Apple olan cihazların numaralarını yazdır.,SELECT numara WHERE cihaz EQL Apple
Müşteriler tablosundan numarası 1 olan müşterilerin şehirlerini getir.,SELECT sehir WHERE numara EQL 1
Hastalar tablosunda numarası 1 olan hastaların numaralarını getir.,SELECT numara WHERE numara EQL 1
Veritabanındaki açılış yılı 1957 olan stadyumların şehirlerini yazdır.,SELECT sehir WHERE acilis_yili EQL 1957
Tüm sanatçıların adlarını getir.,SELECT ad
Soyadı Lee olan sürücülerin soyadlarını getir.,SELECT soyad WHERE soyad EQL Lee
Kaç randevu var?,SELECT count(numara)
Veritabanındaki tüm sinemaların numaralarını yazdır.,SELECT numara
Pilotlardan adı Robert olan pilotların numaralarını göster.,SELECT numara WHERE ad EQL Robert
Mesafesi 350 olan tüm uçuşların numaralarını getir.,SELECT numara WHERE mesafe EQL 350
Şehiri Londra olan öğretmenlerin adlarını bul.,SELECT ad WHERE sehir EQL Londra
Alıntısı 29 olan yayınların yayıncılarını bul.,SELECT yayinci WHERE alinti EQL 29
Veritabanındaki dili Turkce olan şarkıların sanatçılarını yazdır.,SELECT sanatci WHERE dil EQL Turkce
Stadyumların açılış yıllarını getir.,SELECT acilis_yili
Yarışlar tablosundaki en büyük numarayı getir.,SELECT max(numara)
Yarışlardan tarihi 01/04/2005 olan yarışların numaralarını getir.,SELECT numara WHERE tarih EQL 01/04/2005
Kategorisi Roman olan kitapların başlıklarını listele.,SELECT baslik WHERE kategori EQL Roman
Veritabanındaki yeri Izmir olan sinemaların numaralarını yazdır.,SELECT numara WHERE yer EQL Izmir
En büyük sinema kapasitesini getir.,SELECT max(kapasite)
Tüm çiftliklerin sadece domuz sayılarını göster.,SELECT domuz_sayisi
Ürünlerden numarası 1 olan ürünlerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Öğrenciler içerisinde en yüksek yaş kaçtır?,SELECT max(yas)
Oyunlar tablosundan adı Minecraft olan oyunların kategorilerini getir.,SELECT kategori WHERE ad EQL Minecraft
Tüm sürücülerin tiplerini listele.,SELECT tip
Veritabanındaki ekran modu Big olan telefonların ülkelerini yazdır.,SELECT ulke WHERE ekran_modu EQL Big
Veritabanındaki numarası 1 olan uçakların açıklamalarını yazdır.,SELECT aciklama WHERE numara EQL 1
Numarası 1 olan tüm yöneticilerin yaşlarını getir.,SELECT yas WHERE numara EQL 1
Toplam uçağı 660 olan havalimanlarının adlarını listele.,SELECT ad WHERE toplam_ucak EQL 660
Projelerden adı Project Z olan projelerin adlarını göster.,SELECT ad WHERE ad EQL Project Z
Soyadı Lee olan sürücülerin uyruklarını listele.,SELECT uyruk WHERE soyad EQL Lee
Tüm yayınların sadece başlıklarını göster.,SELECT baslik
Telefonlardan modeli iPhone olan telefonların çip modellerini getir.,SELECT cip_modeli WHERE model EQL iPhone
Adı Richard olan tüm öğretmenlerin adlarını getir.,SELECT ad WHERE ad EQL Richard
Tüm sanatçıların sadece cinsiyetlerini göster.,SELECT cinsiyet
Veritabanındaki koyun sayısı 5 olan çiftliklerin keçi sayılarını yazdır.,SELECT keci_sayisi WHERE koyun_sayisi EQL 5
Numarası 1 olan tüm yöneticilerin ülkelerini getir.,SELECT ulke WHERE numara EQL 1
Uçaklar tablosunda toplam yolcusu 475 olan uçakların toplam yolcularını getir.,SELECT toplam_yolcu WHERE toplam_yolcu EQL 475
Toplamda kaç konferans olduğunu göster.,SELECT count(numara)
Kaç yönetici var?,SELECT count(numara)
Kapasitesi 140 olan sinemaların yerlerini getir.,SELECT yer WHERE kapasite EQL 140
Tüm yöneticilerin adlarını görüntüle.,SELECT ad
Adı Robert olan tüm pilotların numaralarını getir.,SELECT numara WHERE ad EQL Robert
Müzelerden açılış yılı 2010 olan müzelerin adlarını göster.,SELECT ad WHERE acilis_yili EQL 2010
Tipi B olan sürücülerin numaralarını listele.,SELECT numara WHERE tip EQL B
Tipi Fast Food olan restoranların derecelerini getir.,SELECT derece WHERE tip EQL Fast Food
Sürücülerden soyadı Lee olan sürücülerin uyruklarını getir.,SELECT uyruk WHERE soyad EQL Lee
Adı Istanbul Sokaklari olan şarkıların adlarını getir.,SELECT ad WHERE ad EQL Istanbul Sokaklari
Veritabanındaki adı Lisa olan hemşirelerin numaralarını yazdır.,SELECT numara WHERE ad EQL Lisa
Veritabanındaki kapasitesi 140 olan sinemaların adlarını yazdır.,SELECT ad WHERE kapasite EQL 140
Veritabanındaki adı Michael Phelps olan yüzücülerin numaralarını yazdır.,SELECT numara WHERE ad EQL Michael Phelps
Sinemalardan yeri Izmir olan sinemaların adlarını göster.,SELECT ad WHERE yer EQL Izmir
Sinemalardan yeri Izmir olan sinemaların kapasitelerini getir.,SELECT kapasite WHERE yer EQL Izmir
E-postası jtaylor@gmail.com olan personellerin numaralarını bul.,SELECT numara WHERE eposta EQL jtaylor@gmail.com
Cihazlardan işletim sistemi IOS olan cihazların numaralarını göster.,SELECT numara WHERE isletim_sistemi EQL IOS
Öğrencilerden numarası 1 olan öğrencilerin şehirlerini göster.,SELECT sehir WHERE numara EQL 1
Arabalardan ülkesi Almanya olan arabaların beygir güçlerini getir.,SELECT beygir_gucu WHERE ulke EQL Almanya
Bütün öğrencilerin şehirlerini getir.,SELECT sehir
Çiftliklerden domuz sayısı 2 olan çiftliklerin at sayılarını göster.,SELECT at_sayisi WHERE domuz_sayisi EQL 2
Tüm köprülerin uzunluklarını görüntüle.,SELECT uzunluk
Hemşire tablosu içinde kaç tane hemşire kaydı olduğunu ekrana getir.,SELECT count(numara)
Numarası 1 olan restoranların derecelerini bul.,SELECT derece WHERE numara EQL 1
Çiftlikler içerisinde en yüksek koyun sayısı kaçtır?,SELECT max(koyun_sayisi)
Veritabanındaki adı William olan çalışanların maaşlarını yazdır.,SELECT maas WHERE ad EQL William
Bütün arabaların beygir güçlerini getir.,SELECT beygir_gucu
Yöneticiler tablosundaki en büyük düzeyi göster.,SELECT max(duzey)
Tüm derslerin sadece numaralarını göster.,SELECT numara
Ülkesi America olan yöneticilerin ülkelerini getir.,SELECT ulke WHERE ulke EQL America
Uçuşlar tablosunda numarası 1 olan uçuşların numaralarını getir.,SELECT numara WHERE numara EQL 1
Veritabanındaki adı Project Z olan projelerin başlangıç tarihlerini yazdır.,SELECT baslangic_tarihi WHERE ad EQL Project Z
Bütün oyunların numaralarını göster.,SELECT numara
Toplam havalimanı sayısı nedir?,SELECT count(numara)
Uçuşlardan varış tarihi 19/05/2022 14:00 olan uçuşların numaralarını getir.,SELECT numara WHERE varis_tarihi EQL 19/05/2022 14:00
Filmler tablosunda başlığı Esaretin Bedeli olan filmlerin başlıklarını getir.,SELECT baslik WHERE baslik EQL Esaretin Bedeli
Mağazalar tablosundan adı A Giyim olan mağazaların adlarını getir.,SELECT ad WHERE ad EQL A Giyim
Hastalar tablosundan numarası 1 olan hastaların adlarını getir.,SELECT ad WHERE numara EQL 1
Mimarlardan en büyük numarayı getir.,SELECT max(numara)
Stadyumlar tablosundan numarası 1 olan stadyumların adlarını getir.,SELECT ad WHERE numara EQL 1
Numarası 1 olan uçakların toplam yolcularını getir.,SELECT toplam_yolcu WHERE numara EQL 1
Yarışlardan adı Formula A olan yarışların turlarını göster.,SELECT tur WHERE ad EQL Formula A
Veritabanındaki adı Gallery of Earth olan müzelerin numaralarını yazdır.,SELECT numara WHERE ad EQL Gallery of Earth
Öğrenciler tablosundan cinsiyeti Erkek olan öğrencilerin şehirlerini getir.,SELECT sehir WHERE cinsiyet EQL Erkek
Dili Turkce olan tüm şarkıların adlarını getir.,SELECT ad WHERE dil EQL Turkce
Hastaların adlarını getir.,SELECT ad
Yarışlar tablosundan adı Formula A olan yarışların yıllarını getir.,SELECT yil WHERE ad EQL Formula A
Iç yolcusu 63648 olan tüm havalimanlarının numaralarını getir.,SELECT numara WHERE ic_yolcu EQL 63648
Yüzücülerin adlarını getir.,SELECT ad
Uçakların hızlarını göster.,SELECT hiz
Uçaklardan açıklaması Airbus A340-600 olan uçakların toplam yolcularını getir.,SELECT toplam_yolcu WHERE aciklama EQL Airbus A340-600
Veritabanındaki cinsiyeti Male olan mimarların cinsiyetlerini yazdır.,SELECT cinsiyet WHERE cinsiyet EQL Male
Arabalardan beygir gücü 163 olan arabaların beygir güçlerini getir.,SELECT beygir_gucu WHERE beygir_gucu EQL 163
Şarkılardan numarası 1 olan şarkıların adlarını göster.,SELECT ad WHERE numara EQL 1
Kaç pilot var?,SELECT count(numara)
Veritabanındaki numarası 1 olan yöneticilerin yaşlarını yazdır.,SELECT yas WHERE numara EQL 1
Ülkesi Amerika olan telefonların modellerini bul.,SELECT model WHERE ulke EQL Amerika
En büyük havalimanı toplam uçağını göster.,SELECT max(toplam_ucak)
Personeller tablosunda cinsiyeti Male olan personellerin e-postalarını getir.,SELECT eposta WHERE cinsiyet EQL Male
Adı Camp Nou olan stadyumların numaralarını listele.,SELECT numara WHERE ad EQL Camp Nou
Numarası 1 olan tüm pilotların yaşlarını getir.,SELECT yas WHERE numara EQL 1
Adı Istanbul olan şehirlerin numaralarını bul.,SELECT numara WHERE ad EQL Istanbul
Sürücüler tablosunda numarası 20202020 olan sürücülerin soyadlarını getir.,SELECT soyad WHERE kod EQL 20202020
Havalimanlarından iç yolcusu 63648 olan havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE ic_yolcu EQL 63648
Stoklardan numarası 1 olan stokların numaralarını getir.,SELECT numara WHERE numara EQL 1
Çalışanlar tablosundan adı William olan çalışanların cinsiyetlerini getir.,SELECT cinsiyet WHERE ad EQL William
Havalimanlarından adı Istanbul Sabiha Gokcen Havalimani olan havalimanlarının adlarını göster.,SELECT ad WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Yarışlardan yılı 2005 olan yarışların turlarını göster.,SELECT tur WHERE yil EQL 2005
Öğrenciler tablosunda yaşı 16 olan öğrencilerin şehirlerini getir.,SELECT sehir WHERE yas EQL 16
Stadyumlar tablosunda kapasitesi 99354 olan stadyumların kapasitelerini getir.,SELECT kapasite WHERE kapasite EQL 99354
Numarası 1 olan filmlerin başlıklarını bul.,SELECT baslik WHERE numara EQL 1
Veritabanındaki numarası 1 olan çiftliklerin domuz sayılarını yazdır.,SELECT domuz_sayisi WHERE numara EQL 1
Toplam yayın sayısını bastır.,SELECT count(numara)
Tüm konferansların sadece numaralarını göster.,SELECT numara
Çiftliklerden inek sayısı 10 olan çiftliklerin koyun sayılarını getir.,SELECT koyun_sayisi WHERE inek_sayisi EQL 10
Öğretmenlerden adı Richard olan öğretmenlerin adlarını göster.,SELECT ad WHERE ad EQL Richard
Insanlardan doğum tarihi 01/04/1990 olan insanların boylarını getir.,SELECT boy WHERE dogum_tarihi EQL 01/04/1990
Yöneticilerden düzeyi 5 olan yöneticilerin düzeylerini getir.,SELECT duzey WHERE duzey EQL 5
Şarkılar tablosunda sanatçısı Muzeyyen Senar olan şarkıların dillerini getir.,SELECT dil WHERE sanatci EQL Muzeyyen Senar
Öğrenciler tablosundaki en büyük numarayı listele.,SELECT max(numara)
Bütün müzelerin adlarını getir.,SELECT ad
Veritabanındaki telefonlardan en büyük numarayı yazdır.,SELECT max(numara)
Cinsiyedi Male olan mimarların numaralarını getir.,SELECT numara WHERE cinsiyet EQL Male
Veritabanındaki adı Formula A olan yarışların yıllarını yazdır.,SELECT yil WHERE ad EQL Formula A
Soyadı Taylor olan personellerin telefonlarını listele.,SELECT telefon WHERE soyad EQL Taylor
Veritabanındaki mesafesi 350 olan uçuşların kalkış tarihlerini yazdır.,SELECT kalkis_tarihi WHERE mesafe EQL 350
Yayınlar tablosundan alıntısı 29 olan yayınların yayıncılarını getir.,SELECT yayinci WHERE alinti EQL 29
Adı Thomas olan tüm sürücülerin soyadlarını getir.,SELECT soyad WHERE ad EQL Thomas
Keçi sayısı 2 olan çiftliklerin koyun sayılarını listele.,SELECT koyun_sayisi WHERE keci_sayisi EQL 2
Adı Gallery of Earth olan müzelerin numaralarını listele.,SELECT numara WHERE ad EQL Gallery of Earth
Adı Richard olan öğretmenlerin şehirlerini bul.,SELECT sehir WHERE ad EQL Richard
Düzeyi 5 olan yöneticilerin yaşlarını bul.,SELECT yas WHERE duzey EQL 5
Köprüler tablosunda numarası 1 olan köprülerin konumlarını getir.,SELECT konum WHERE numara EQL 1
Arabalardan modeli Mercedes olan arabaların beygir güçlerini getir.,SELECT beygir_gucu WHERE model EQL Mercedes
Toplamda kaç oyun olduğunu göster.,SELECT count(numara)
Adı William olan çalışanların numaralarını listele.,SELECT numara WHERE ad EQL William
Toplam proje sayısı nedir?,SELECT count(numara)
Veritabanındaki yaşı 16 olan öğrencilerin adlarını yazdır.,SELECT ad WHERE yas EQL 16
Veritabanındaki cinsiyeti Erkek olan öğrencilerin yaşlarını yazdır.,SELECT yas WHERE cinsiyet EQL Erkek
Veritabanındaki varış tarihi 19/05/2022 14:00 olan uçuşların numaralarını yazdır.,SELECT numara WHERE varis_tarihi EQL 19/05/2022 14:00
Konumu Omaha - Nebraska - ABD olan demiryollarının kurucularını bul.,SELECT kurucu WHERE konum EQL Omaha - Nebraska - ABD
Restoranlardan tipi Fast Food olan restoranların numaralarını getir.,SELECT numara WHERE tip EQL Fast Food
Tüm müşterilerin kodlarını getir.,SELECT kod
Başlangıcı Istanbul olan tüm uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE baslangic EQL Istanbul
Yarışlar tablosunda turu 4 olan yarışların yıllarını getir.,SELECT yil WHERE tur EQL 4
Şehiri Londra olan öğretmenlerin yaşlarını listele.,SELECT yas WHERE sehir EQL Londra
Veritabanındaki adı Thomas olan sürücülerin numaralarını yazdır.,SELECT numara WHERE ad EQL Thomas
Kulüplerden adı Satranc olan kulüplerin numaralarını getir.,SELECT numara WHERE ad EQL Satranc
Doğum tarihi 01/04/1990 olan tüm insanların adlarını getir.,SELECT ad WHERE dogum_tarihi EQL 01/04/1990
Demiryolları tablosunda demiryolu Union Pacific Railroad olan demiryollarının numaralarını getir.,SELECT numara WHERE demiryolu EQL Union Pacific Railroad
Öğrencilerden numarası 1 olan öğrencilerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Başlığı Artificial Intelligence olan yayınların yayıncılarını listele.,SELECT yayinci WHERE baslik EQL Artificial Intelligence
Veritabanındaki numarası 1 olan kitapların kategorilerini yazdır.,SELECT kategori WHERE numara EQL 1
Ürünlerin numaralarını getir.,SELECT numara
Stadyumlar tablosunda açılış yılı 1957 olan stadyumların açılış yıllarını getir.,SELECT acilis_yili WHERE acilis_yili EQL 1957
Toplam randevu sayısını göster.,SELECT count(numara)
Oyunculardan adı Matthew Carter olan oyuncuların uyruklarını göster.,SELECT uyruk WHERE ad EQL Matthew Carter
Tüm mağazaların konumlarını görüntüle.,SELECT konum
Tüm uçuşların başlangıçlarını listele.,SELECT baslangic
Tüm uçakların toplam yolcularını getir.,SELECT toplam_yolcu
Bütün dergilerin adlarını göster.,SELECT ad
En büyük sanatçı numarasını göster.,SELECT max(numara)
Pilotlardan numarası 1 olan pilotların adlarını göster.,SELECT ad WHERE numara EQL 1
En büyük havalimanı uluslararası yolcusunu getir.,SELECT max(uluslararasi_yolcu)
Bütün trenlerin adlarını göster.,SELECT ad
Tüm yazarların numaralarını listele.,SELECT numara
Personeller tablosunda e-postası jtaylor@gmail.com olan personellerin cinsiyetlerini getir.,SELECT cinsiyet WHERE eposta EQL jtaylor@gmail.com
Sanatçılardan adı Leonardo da Vinci olan sanatçıların cinsiyetlerini getir.,SELECT cinsiyet WHERE ad EQL Leonardo da Vinci
Yılı 2005 olan yarışların yıllarını getir.,SELECT yil WHERE yil EQL 2005
Veritabanındaki numarası TK1919 olan uçuşların başlangıçlarını yazdır.,SELECT baslangic WHERE kod EQL TK1919
Numarası 1 olan tüm telefonların modellerini getir.,SELECT model WHERE numara EQL 1
Mesafesi 350 olan uçuşların mesafelerini listele.,SELECT mesafe WHERE mesafe EQL 350
Trenler tablosundan adı Andaman Exp olan trenlerin varışlarını getir.,SELECT varis WHERE ad EQL Andaman Exp
Açılış yılı 2020 olan mağazaların adlarını listele.,SELECT ad WHERE acilis_yili EQL 2020
Personeller tablosundan e-postası jtaylor@gmail.com olan personellerin soyadlarını getir.,SELECT soyad WHERE eposta EQL jtaylor@gmail.com
Havalimanları tablosundan uluslararası yolcusu 35858 olan havalimanlarının numaralarını getir.,SELECT numara WHERE uluslararasi_yolcu EQL 35858
Çiftliklerden domuz sayısı 2 olan çiftliklerin koyun sayılarını göster.,SELECT koyun_sayisi WHERE domuz_sayisi EQL 2
Öğrenciler tablosundan şehiri New York olan öğrencilerin adlarını getir.,SELECT ad WHERE sehir EQL New York
Tipi B olan tüm sürücülerin tiplerini getir.,SELECT tip WHERE tip EQL B
Havalimanları tablosundan numarası 1 olan havalimanlarının iç yolcularını getir.,SELECT ic_yolcu WHERE numara EQL 1
Veritabanındaki tüm uçuşların kalkış tarihlerini yazdır.,SELECT kalkis_tarihi
Köprülerden uzunluğu 1510 olan köprülerin uzunluklarını göster.,SELECT uzunluk WHERE uzunluk EQL 1510
Sürücülerden numarası 1 olan sürücülerin tiplerini getir.,SELECT tip WHERE numara EQL 1
Çiftlikler tablosunda domuz sayısı 2 olan çiftliklerin boğa sayılarını getir.,SELECT boga_sayisi WHERE domuz_sayisi EQL 2
